"filename", "language", "JSON", "Markdown", "Batch", "XML", "Java", "Properties", "YAML", "TypeScript", "JSON with Comments", "vue", "CSS", "HTML", "comment", "blank", "total"
"d:\基于web的项目管理系统\Psm\.idea\workspace.xml", "XML", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78
"d:\基于web的项目管理系统\Psm\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\基于web的项目管理系统\Psm\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\基于web的项目管理系统\Psm\psmback\pom.xml", "XML", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\pom.xml", "XML", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 90
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\config\RedisConfig.java", "Java", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 5, 32
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\config\WebConfig.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 2, 29
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\entity\LoginUser.java", "Java", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\entity\Project.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\entity\Task.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\entity\Team.java", "Java", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\基于web的项目管理系统\Psm\psmback\psmback-common\src\main\java\com\zz\psmback\common\entity\User.java", "Java", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
